db_id,question,query_toks,query_toks_no_value,sql_string,db_id_id,question_id,query_toks_id,query_toks_no_value_id,sql_string_id
geo,what is the biggest city in wyoming,SELECT,select,"""wyoming""",geografis,apa kota terbesar di wyoming,SELECT,select,"""wyoming"""
,,city_name,city_name,"""wyoming""",,,nama_kota,nama_kota,"""wyoming"""
,,FROM,from,,,,FROM,from,
,,city,city,,,,kota,kota,
,,WHERE,where,,,,WHERE,where,
,,population,population,,,,populasi,populasi,
,,=,=,,,,=,=,
,,(,(,,,,(,(,
,,SELECT,select,,,,SELECT,select,
,,MAX,max,,,,MAX,max,
,,(,(,,,,(,(,
,,population,population,,,,populasi,populasi,
,,),),,,,),),
,,FROM,from,,,,FROM,from,
,,city,city,,,,kota,kota,
,,WHERE,where,,,,WHERE,where,
,,state_name,state_name,,,,nama_negara,nama_negara,
,,=,=,,,,=,=,
,,``,value,,,,``,value,
,,wyoming,),,,,Wyoming,),
,,',and,,,,',and,
,,),state_name,,,,),nama_negara,
,,AND,=,,,,AND,=,
,,state_name,value,,,,nama_negara,value,
,,=,,,,,=,,
,,``,,,,,``,,
,,wyoming,,,,,Wyoming,,
,,',,,,,',,
,,;,,,,,;,,
geo,what wyoming city has the largest population,SELECT,select,"""wyoming""",geografis,kota wyoming mana yang memiliki populasi terbesar,SELECT,select,"""wyoming"""
,,city_name,city_name,"""wyoming""",,,nama_kota,nama_kota,"""wyoming"""
,,FROM,from,,,,FROM,from,
,,city,city,,,,kota,kota,
,,WHERE,where,,,,WHERE,where,
,,population,population,,,,populasi,populasi,
,,=,=,,,,=,=,
,,(,(,,,,(,(,
,,SELECT,select,,,,SELECT,select,
,,MAX,max,,,,MAX,max,
,,(,(,,,,(,(,
,,population,population,,,,populasi,populasi,
,,),),,,,),),
,,FROM,from,,,,FROM,from,
,,city,city,,,,kota,kota,
,,WHERE,where,,,,WHERE,where,
,,state_name,state_name,,,,nama_negara,nama_negara,
,,=,=,,,,=,=,
,,``,value,,,,``,value,
,,wyoming,),,,,Wyoming,),
,,',and,,,,',and,
,,),state_name,,,,),nama_negara,
,,AND,=,,,,AND,=,
,,state_name,value,,,,nama_negara,value,
,,=,,,,,=,,
,,``,,,,,``,,
,,wyoming,,,,,Wyoming,,
,,',,,,,',,
,,;,,,,,;,,
geo,what is the largest city in wyoming,SELECT,select,"""wyoming""",geografis,apa kota terbesar di wyoming,SELECT,select,"""wyoming"""
,,city_name,city_name,"""wyoming""",,,nama_kota,nama_kota,"""wyoming"""
,,FROM,from,,,,FROM,from,
,,city,city,,,,kota,kota,
,,WHERE,where,,,,WHERE,where,
,,population,population,,,,populasi,populasi,
,,=,=,,,,=,=,
,,(,(,,,,(,(,
,,SELECT,select,,,,SELECT,select,
,,MAX,max,,,,MAX,max,
,,(,(,,,,(,(,
,,population,population,,,,populasi,populasi,
,,),),,,,),),
,,FROM,from,,,,FROM,from,
,,city,city,,,,kota,kota,
,,WHERE,where,,,,WHERE,where,
,,state_name,state_name,,,,nama_negara,nama_negara,
,,=,=,,,,=,=,
,,``,value,,,,``,value,
,,wyoming,),,,,Wyoming,),
,,',and,,,,',and,
,,),state_name,,,,),nama_negara,
,,AND,=,,,,AND,=,
,,state_name,value,,,,nama_negara,value,
,,=,,,,,=,,
,,``,,,,,``,,
,,wyoming,,,,,Wyoming,,
,,',,,,,',,
,,;,,,,,;,,
geo,where is the most populated area of wyoming,SELECT,select,"""wyoming""",geografis,dimana merupakan wilayah terpadat di wyoming,SELECT,select,"""wyoming"""
,,city_name,city_name,"""wyoming""",,,nama_kota,nama_kota,"""wyoming"""
,,FROM,from,,,,FROM,from,
,,city,city,,,,kota,kota,
,,WHERE,where,,,,WHERE,where,
,,population,population,,,,populasi,populasi,
,,=,=,,,,=,=,
,,(,(,,,,(,(,
,,SELECT,select,,,,SELECT,select,
,,MAX,max,,,,MAX,max,
,,(,(,,,,(,(,
,,population,population,,,,populasi,populasi,
,,),),,,,),),
,,FROM,from,,,,FROM,from,
,,city,city,,,,kota,kota,
,,WHERE,where,,,,WHERE,where,
,,state_name,state_name,,,,nama_negara,nama_negara,
,,=,=,,,,=,=,
,,``,value,,,,``,value,
,,wyoming,),,,,Wyoming,),
,,',and,,,,',and,
,,),state_name,,,,),nama_negara,
,,AND,=,,,,AND,=,
,,state_name,value,,,,nama_negara,value,
,,=,,,,,=,,
,,``,,,,,``,,
,,wyoming,,,,,Wyoming,,
,,',,,,,',,
,,;,,,,,;,,
geo,which city in wyoming has the largest population,SELECT,select,"""wyoming""",geografis,kota mana di wyoming yang memiliki populasi terbesar,SELECT,select,"""wyoming"""
,,city_name,city_name,"""wyoming""",,,nama_kota,nama_kota,"""wyoming"""
,,FROM,from,,,,FROM,from,
,,city,city,,,,kota,kota,
,,WHERE,where,,,,WHERE,where,
,,population,population,,,,populasi,populasi,
,,=,=,,,,=,=,
,,(,(,,,,(,(,
,,SELECT,select,,,,SELECT,select,
,,MAX,max,,,,MAX,max,
,,(,(,,,,(,(,
,,population,population,,,,populasi,populasi,
,,),),,,,),),
,,FROM,from,,,,FROM,from,
,,city,city,,,,kota,kota,
,,WHERE,where,,,,WHERE,where,
,,state_name,state_name,,,,nama_negara,nama_negara,
,,=,=,,,,=,=,
,,``,value,,,,``,value,
,,wyoming,),,,,Wyoming,),
,,',and,,,,',and,
,,),state_name,,,,),nama_negara,
,,AND,=,,,,AND,=,
,,state_name,value,,,,nama_negara,value,
,,=,,,,,=,,
,,``,,,,,``,,
,,wyoming,,,,,Wyoming,,
,,',,,,,',,
,,;,,,,,;,,
geo,what cities in wyoming have the highest number of citizens,SELECT,select,"""wyoming""",geografis,kota apa di wyoming yang mempunyai jumlah penduduk terbanyak,SELECT,select,"""wyoming"""
,,city_name,city_name,"""wyoming""",,,nama_kota,nama_kota,"""wyoming"""
,,FROM,from,,,,FROM,from,
,,city,city,,,,kota,kota,
,,WHERE,where,,,,WHERE,where,
,,population,population,,,,populasi,populasi,
,,=,=,,,,=,=,
,,(,(,,,,(,(,
,,SELECT,select,,,,SELECT,select,
,,MAX,max,,,,MAX,max,
,,(,(,,,,(,(,
,,population,population,,,,populasi,populasi,
,,),),,,,),),
,,FROM,from,,,,FROM,from,
,,city,city,,,,kota,kota,
,,WHERE,where,,,,WHERE,where,
,,state_name,state_name,,,,nama_negara,nama_negara,
,,=,=,,,,=,=,
,,``,value,,,,``,value,
,,wyoming,),,,,Wyoming,),
,,',and,,,,',and,
,,),state_name,,,,),nama_negara,
,,AND,=,,,,AND,=,
,,state_name,value,,,,nama_negara,value,
,,=,,,,,=,,
,,``,,,,,``,,
,,wyoming,,,,,Wyoming,,
,,',,,,,',,
,,;,,,,,;,,
geo,what cities in wyoming have the highest populations,SELECT,select,"""wyoming""",geografis,kota mana di wyoming yang memiliki populasi tertinggi,SELECT,select,"""wyoming"""
,,city_name,city_name,"""wyoming""",,,nama_kota,nama_kota,"""wyoming"""
,,FROM,from,,,,FROM,from,
,,city,city,,,,kota,kota,
,,WHERE,where,,,,WHERE,where,
,,population,population,,,,populasi,populasi,
,,=,=,,,,=,=,
,,(,(,,,,(,(,
,,SELECT,select,,,,SELECT,select,
,,MAX,max,,,,MAX,max,
,,(,(,,,,(,(,
,,population,population,,,,populasi,populasi,
,,),),,,,),),
,,FROM,from,,,,FROM,from,
,,city,city,,,,kota,kota,
,,WHERE,where,,,,WHERE,where,
,,state_name,state_name,,,,nama_negara,nama_negara,
,,=,=,,,,=,=,
,,``,value,,,,``,value,
,,wyoming,),,,,Wyoming,),
,,',and,,,,',and,
,,),state_name,,,,),nama_negara,
,,AND,=,,,,AND,=,
,,state_name,value,,,,nama_negara,value,
,,=,,,,,=,,
,,``,,,,,``,,
,,wyoming,,,,,Wyoming,,
,,',,,,,',,
,,;,,,,,;,,
geo,what is the most populous city in wyoming,SELECT,select,"""wyoming""",geografis,apa kota terpadat di wyoming,SELECT,select,"""wyoming"""
,,city_name,city_name,"""wyoming""",,,nama_kota,nama_kota,"""wyoming"""
,,FROM,from,,,,FROM,from,
,,city,city,,,,kota,kota,
,,WHERE,where,,,,WHERE,where,
,,population,population,,,,populasi,populasi,
,,=,=,,,,=,=,
,,(,(,,,,(,(,
,,SELECT,select,,,,SELECT,select,
,,MAX,max,,,,MAX,max,
,,(,(,,,,(,(,
,,population,population,,,,populasi,populasi,
,,),),,,,),),
,,FROM,from,,,,FROM,from,
,,city,city,,,,kota,kota,
,,WHERE,where,,,,WHERE,where,
,,state_name,state_name,,,,nama_negara,nama_negara,
,,=,=,,,,=,=,
,,``,value,,,,``,value,
,,wyoming,),,,,Wyoming,),
,,',and,,,,',and,
,,),state_name,,,,),nama_negara,
,,AND,=,,,,AND,=,
,,state_name,value,,,,nama_negara,value,
,,=,,,,,=,,
,,``,,,,,``,,
,,wyoming,,,,,Wyoming,,
,,',,,,,',,
,,;,,,,,;,,
geo,what is the largest city in wyoming by population,SELECT,select,"""wyoming""",geografis,apa kota terbesar di wyoming berdasarkan jumlah penduduk,SELECT,select,"""wyoming"""
,,city_name,city_name,"""wyoming""",,,nama_kota,nama_kota,"""wyoming"""
,,FROM,from,,,,FROM,from,
,,city,city,,,,kota,kota,
,,WHERE,where,,,,WHERE,where,
,,population,population,,,,populasi,populasi,
,,=,=,,,,=,=,
,,(,(,,,,(,(,
,,SELECT,select,,,,SELECT,select,
,,MAX,max,,,,MAX,max,
,,(,(,,,,(,(,
,,population,population,,,,populasi,populasi,
,,),),,,,),),
,,FROM,from,,,,FROM,from,
,,city,city,,,,kota,kota,
,,WHERE,where,,,,WHERE,where,
,,state_name,state_name,,,,nama_negara,nama_negara,
,,=,=,,,,=,=,
,,``,value,,,,``,value,
,,wyoming,),,,,Wyoming,),
,,',and,,,,',and,
,,),state_name,,,,),nama_negara,
,,AND,=,,,,AND,=,
,,state_name,value,,,,nama_negara,value,
,,=,,,,,=,,
,,``,,,,,``,,
,,wyoming,,,,,Wyoming,,
,,',,,,,',,
,,;,,,,,;,,
geo,what is the largest city of wyoming,SELECT,select,"""wyoming""",geografis,apa kota terbesar di wyoming,SELECT,select,"""wyoming"""
,,city_name,city_name,"""wyoming""",,,nama_kota,nama_kota,"""wyoming"""
,,FROM,from,,,,FROM,from,
,,city,city,,,,kota,kota,
,,WHERE,where,,,,WHERE,where,
,,population,population,,,,populasi,populasi,
,,=,=,,,,=,=,
,,(,(,,,,(,(,
,,SELECT,select,,,,SELECT,select,
,,MAX,max,,,,MAX,max,
,,(,(,,,,(,(,
,,population,population,,,,populasi,populasi,
,,),),,,,),),
,,FROM,from,,,,FROM,from,
,,city,city,,,,kota,kota,
,,WHERE,where,,,,WHERE,where,
,,state_name,state_name,,,,nama_negara,nama_negara,
,,=,=,,,,=,=,
,,``,value,,,,``,value,
,,wyoming,),,,,Wyoming,),
,,',and,,,,',and,
,,),state_name,,,,),nama_negara,
,,AND,=,,,,AND,=,
,,state_name,value,,,,nama_negara,value,
,,=,,,,,=,,
,,``,,,,,``,,
,,wyoming,,,,,Wyoming,,
,,',,,,,',,
,,;,,,,,;,,
geo,what is the city in wyoming with the largest population,SELECT,select,"""wyoming""",geografis,apa kota di wyoming dengan populasi terbesar,SELECT,select,"""wyoming"""
,,city_name,city_name,"""wyoming""",,,nama_kota,nama_kota,"""wyoming"""
,,FROM,from,,,,FROM,from,
,,city,city,,,,kota,kota,
,,WHERE,where,,,,WHERE,where,
,,population,population,,,,populasi,populasi,
,,=,=,,,,=,=,
,,(,(,,,,(,(,
,,SELECT,select,,,,SELECT,select,
,,MAX,max,,,,MAX,max,
,,(,(,,,,(,(,
,,population,population,,,,populasi,populasi,
,,),),,,,),),
,,FROM,from,,,,FROM,from,
,,city,city,,,,kota,kota,
,,WHERE,where,,,,WHERE,where,
,,state_name,state_name,,,,nama_negara,nama_negara,
,,=,=,,,,=,=,
,,``,value,,,,``,value,
,,wyoming,),,,,Wyoming,),
,,',and,,,,',and,
,,),state_name,,,,),nama_negara,
,,AND,=,,,,AND,=,
,,state_name,value,,,,nama_negara,value,
,,=,,,,,=,,
,,``,,,,,``,,
,,wyoming,,,,,Wyoming,,
,,',,,,,',,
,,;,,,,,;,,
geo,which rivers run through the state with the largest city in the us,SELECT,select,,geografis,sungai mana yang mengalir melalui negara bagian dengan kota terbesar di AS,SELECT,select,
,,river_name,river_name,,,,nama_sungai,nama_sungai,
,,FROM,from,,,,FROM,from,
,,river,river,,,,sungai,sungai,
,,WHERE,where,,,,WHERE,where,
,,traverse,traverse,,,,melintasi,melintasi,
,,IN,in,,,,IN,in,
,,(,(,,,,(,(,
,,SELECT,select,,,,SELECT,select,
,,state_name,state_name,,,,nama_negara,nama_negara,
,,FROM,from,,,,FROM,from,
,,city,city,,,,kota,kota,
,,WHERE,where,,,,WHERE,where,
,,population,population,,,,populasi,populasi,
,,=,=,,,,=,=,
,,(,(,,,,(,(,
,,SELECT,select,,,,SELECT,select,
,,MAX,max,,,,MAX,max,
,,(,(,,,,(,(,
,,population,population,,,,populasi,populasi,
,,),),,,,),),
,,FROM,from,,,,FROM,from,
,,city,city,,,,kota,kota,
,,),),,,,),),
,,),),,,,),),
,,;,,,,,;,,
geo,how big is new mexico,SELECT,select,"""new mexico""",geografis,seberapa besar Meksiko baru,SELECT,select,"""Meksiko baru"""
,,area,area,,,,daerah,daerah,
,,FROM,from,,,,FROM,from,
,,state,state,,,,state,state,
,,WHERE,where,,,,WHERE,where,
,,state_name,state_name,,,,nama_negara,nama_negara,
,,=,=,,,,=,=,
,,``,value,,,,``,value,
,,new,,,,,new,,
,,mexico,,,,,Meksiko,,
,,',,,,,',,
,,;,,,,,;,,
geo,what is the area of new mexico,SELECT,select,"""new mexico""",geografis,berapa luas meksiko baru,SELECT,select,"""Meksiko baru"""
,,area,area,,,,daerah,daerah,
,,FROM,from,,,,FROM,from,
,,state,state,,,,state,state,
,,WHERE,where,,,,WHERE,where,
,,state_name,state_name,,,,nama_negara,nama_negara,
,,=,=,,,,=,=,
,,``,value,,,,``,value,
,,new,,,,,new,,
,,mexico,,,,,Meksiko,,
,,',,,,,',,
,,;,,,,,;,,
geo,how large is new mexico,SELECT,select,"""new mexico""",geografis,seberapa besar meksiko baru,SELECT,select,"""Meksiko baru"""
,,area,area,,,,daerah,daerah,
,,FROM,from,,,,FROM,from,
,,state,state,,,,state,state,
,,WHERE,where,,,,WHERE,where,
,,state_name,state_name,,,,nama_negara,nama_negara,
,,=,=,,,,=,=,
,,``,value,,,,``,value,
,,new,,,,,new,,
,,mexico,,,,,Meksiko,,
,,',,,,,',,
,,;,,,,,;,,
geo,what is the area of the new mexico state,SELECT,select,"""new mexico""",geografis,berapa luas negara bagian meksiko baru,SELECT,select,"""Meksiko baru"""
,,area,area,,,,daerah,daerah,
,,FROM,from,,,,FROM,from,
,,state,state,,,,state,state,
,,WHERE,where,,,,WHERE,where,
,,state_name,state_name,,,,nama_negara,nama_negara,
,,=,=,,,,=,=,
,,``,value,,,,``,value,
,,new,,,,,new,,
,,mexico,,,,,Meksiko,,
,,',,,,,',,
,,;,,,,,;,,
geo,what is the size of new mexico,SELECT,select,"""new mexico""",geografis,berapa ukuran meksiko baru,SELECT,select,"""Meksiko baru"""
,,area,area,,,,daerah,daerah,
,,FROM,from,,,,FROM,from,
,,state,state,,,,state,state,
,,WHERE,where,,,,WHERE,where,
,,state_name,state_name,,,,nama_negara,nama_negara,
,,=,=,,,,=,=,
,,``,value,,,,``,value,
,,new,,,,,new,,
,,mexico,,,,,Meksiko,,
,,',,,,,',,
,,;,,,,,;,,
geo,what is the area of new mexico in square kilometers,SELECT,select,"""new mexico""",geografis,berapa luas meksiko baru dalam kilometer persegi,SELECT,select,"""Meksiko baru"""
,,area,area,,,,daerah,daerah,
,,FROM,from,,,,FROM,from,
,,state,state,,,,state,state,
,,WHERE,where,,,,WHERE,where,
,,state_name,state_name,,,,nama_negara,nama_negara,
,,=,=,,,,=,=,
,,``,value,,,,``,value,
,,new,,,,,new,,
,,mexico,,,,,Meksiko,,
,,',,,,,',,
,,;,,,,,;,,
geo,how many people live in california,SELECT,select,"""california""",geografis,berapa banyak orang yang tinggal di california,SELECT,select,"""kalifornia"""
,,population,population,,,,populasi,populasi,
,,FROM,from,,,,FROM,from,
,,state,state,,,,state,state,
,,WHERE,where,,,,WHERE,where,
,,state_name,state_name,,,,nama_negara,nama_negara,
,,=,=,,,,=,=,
,,``,value,,,,``,value,
,,california,,,,,California,,
,,',,,,,',,
,,;,,,,,;,,
geo,how many people reside in california,SELECT,select,"""california""",geografis,berapa banyak orang yang tinggal di california,SELECT,select,"""kalifornia"""
,,population,population,,,,populasi,populasi,
,,FROM,from,,,,FROM,from,
,,state,state,,,,state,state,
,,WHERE,where,,,,WHERE,where,
,,state_name,state_name,,,,nama_negara,nama_negara,
,,=,=,,,,=,=,
,,``,value,,,,``,value,
,,california,,,,,California,,
,,',,,,,',,
,,;,,,,,;,,
geo,how many residents live in california,SELECT,select,"""california""",geografis,berapa banyak penduduk yang tinggal di california,SELECT,select,"""kalifornia"""
,,population,population,,,,populasi,populasi,
,,FROM,from,,,,FROM,from,
,,state,state,,,,state,state,
,,WHERE,where,,,,WHERE,where,
