db_id,query_toks,question,db_id_id,query_toks_id,question_id
department_management,SELECT,How many heads of the departments are older than 56 ?,departemen_manajemen,SELECT,Berapa banyak kepala departemen yang berusia lebih dari 56 tahun?
,count,,,count,
,(,,,(,
,*,,,*,
,),,,),
,FROM,,,FROM,
,head,,,kepala,
,WHERE,,,WHERE,
,age,,,usia,
,>,,,>,
,56,,,56,
department_management,SELECT,"List the name, born state and age of the heads of departments ordered by age.",departemen_manajemen,SELECT,"Cantumkan nama, negara bagian lahir dan umur kepala departemen yang diurutkan berdasarkan umur."
,name,,,nama,
,",",,,",",
,born_state,,,lahir_negara_bagian,
,",",,,",",
,age,,,usia,
,FROM,,,FROM,
,head,,,kepala,
,ORDER,,,ORDER,
,BY,,,BY,
,age,,,usia,
department_management,SELECT,"List the creation year, name and budget of each department.",departemen_manajemen,SELECT,"Cantumkan tahun pembuatan, nama dan anggaran masing-masing departemen."
,creation,,,penciptaan,
,",",,,",",
,name,,,nama,
,",",,,",",
,budget_in_billions,,,anggaran_dalam_miliar,
,FROM,,,FROM,
,department,,,departemen,
department_management,SELECT,What are the maximum and minimum budget of the departments?,departemen_manajemen,SELECT,Berapa anggaran maksimum dan minimum departemen?
,max,,,max,
,(,,,(,
,budget_in_billions,,,anggaran_dalam_miliar,
,),,,),
,",",,,",",
,min,,,min,
,(,,,(,
,budget_in_billions,,,anggaran_dalam_miliar,
,),,,),
,FROM,,,FROM,
,department,,,departemen,
department_management,SELECT,What is the average number of employees of the departments whose rank is between 10 and 15?,departemen_manajemen,SELECT,Berapa rata-rata jumlah pegawai pada departemen yang pangkatnya antara 10 dan 15?
,avg,,,avg,
,(,,,(,
,num_employees,,,jumlah_karyawan,
,),,,),
,FROM,,,FROM,
,department,,,departemen,
,WHERE,,,WHERE,
,ranking,,,peringkat,
,BETWEEN,,,BETWEEN,
,10,,,10,
,AND,,,AND,
,15,,,15,
department_management,SELECT,What are the names of the heads who are born outside the California state?,departemen_manajemen,SELECT,Siapa nama kepala yang lahir di luar negara bagian California?
,name,,,nama,
,FROM,,,FROM,
,head,,,kepala,
,WHERE,,,WHERE,
,born_state,,,lahir_negara_bagian,
,!,,,!,
,=,,,=,
,California,,,Kalifornia,
,,,,,
department_management,SELECT,What are the distinct creation years of the departments managed by a secretary born in state 'Alabama'?,departemen_manajemen,SELECT,Apa saja tahun-tahun pembentukan departemen yang dikelola oleh seorang sekretaris yang lahir di negara bagian 'Alabama'?
,DISTINCT,,,DISTINCT,
,T1.creation,,,T1.kreasi,
,FROM,,,FROM,
,department,,,departemen,
,AS,,,AS,
,T1,,,T1,
,JOIN,,,JOIN,
,management,,,pengelolaan,
,AS,,,AS,
,T2,,,T2,
,ON,,,ON,
,T1.department_id,,,T1.id_departemen,
,=,,,=,
,T2.department_id,,,T2.id_department,
,JOIN,,,JOIN,
,head,,,kepala,
,AS,,,AS,
,T3,,,T3,
,ON,,,ON,
,T2.head_id,,,T2.id_head,
,=,,,=,
,T3.head_id,,,T3.id_head,
,WHERE,,,WHERE,
,T3.born_state,,,T3.negara_lahir,
,=,,,=,
,Alabama,,,Alabama,
,,,,,
