db_id,column_names,column_names_original,table_names,table_names_original,db_id_id,column_names_id,column_names_original_id,table_names_id,table_names_original_id
perpetrator,*,*,perpetrator,perpetrator,pelaku,*,*,pelaku,pelaku
,perpetrator id,Perpetrator_ID,people,people,,id_pelaku,id_pelaku,orang,orang
,people id,People_ID,,,,id_orang,id_orang,,
,date,Date,,,,tanggal,tanggal,,
,year,Year,,,,tahun,tahun,,
,location,Location,,,,lokasi,lokasi,,
,country,Country,,,,negara,negara,,
,killed,Killed,,,,terbunuh,terbunuh,,
,injured,Injured,,,,terluka,terluka,,
,people id,People_ID,,,,id_orang,id_orang,,
,name,Name,,,,nama,nama,,
,height,Height,,,,tinggi,tinggi,,
,weight,Weight,,,,berat,berat,,
,home town,Home Town,,,,kota_asal,kota_asal,,
college_2,*,*,classroom,classroom,perguruan_tinggi_2,*,*,kelas,kelas
,building,building,department,department,,bangunan,bangunan,departemen,departemen
,room number,room_number,course,course,,nomor_kamar,nomor_kamar,kursus,kursus
,capacity,capacity,instructor,instructor,,kapasitas,kapasitas,pengajar,pengajar
,department name,dept_name,section,section,,nama_departemen,nama_departemen,bagian,bagian
,building,building,teaches,teaches,,bangunan,bangunan,mengajar,mengajar
,budget,budget,student,student,,anggaran,anggaran,murid,murid
,course id,course_id,takes classes,takes,,id_kursus,id_kursus,mengambil kelas,dibutuhkan
,title,title,advisor,advisor,,judul,judul,penasihat,penasihat
,department name,dept_name,time slot,time_slot,,nama_departemen,nama_departemen,slot waktu,slot_waktu
,credits,credits,prerequisite,prereq,,kredit,kredit,prasyarat,prasyarat
,id,ID,,,,pengenal,pengenal,,
,name,name,,,,nama,nama,,
,department name,dept_name,,,,nama_departemen,nama_departemen,,
,salary,salary,,,,gaji,gaji,,
,course id,course_id,,,,id_kursus,id_kursus,,
,section id,sec_id,,,,id_bagian,id_detik,,
,semester,semester,,,,semester,semester,,
,year,year,,,,tahun,tahun,,
,building,building,,,,bangunan,bangunan,,
,room number,room_number,,,,nomor_kamar,nomor_kamar,,
,time slot id,time_slot_id,,,,id_slot_waktu,id_waktu_slot,,
,id,ID,,,,pengenal,pengenal,,
,course id,course_id,,,,id_kursus,id_kursus,,
,section id,sec_id,,,,id_bagian,id_detik,,
,semester,semester,,,,semester,semester,,
,year,year,,,,tahun,tahun,,
,id,ID,,,,pengenal,pengenal,,
,name,name,,,,nama,nama,,
,department name,dept_name,,,,nama_departemen,nama_departemen,,
,total credits,tot_cred,,,,jumlah_kredit,total_kredit,,
,id,ID,,,,pengenal,pengenal,,
,course id,course_id,,,,id_kursus,id_kursus,,
,section id,sec_id,,,,id_bagian,id_detik,,
,semester,semester,,,,semester,semester,,
,year,year,,,,tahun,tahun,,
,grade,grade,,,,nilai,nilai,,
,student id,s_ID,,,,tanda_pengenal_siswa,id_s,,
,instructor id,i_ID,,,,id_instruktur,id_saya,,
,time slot id,time_slot_id,,,,id_slot_waktu,id_waktu_slot,,
,day,day,,,,hari,hari,,
,start hour,start_hr,,,,jam_mulai,mulai_jam,,
,start minute,start_min,,,,menit_mulai,mulai_menit,,
,end hour,end_hr,,,,jam_akhir,akhir_jam,,
,end minute,end_min,,,,menit_akhir,akhir_min,,
,course id,course_id,,,,id_kursus,id_kursus,,
,prerequisite id,prereq_id,,,,id_prasyarat,id_prasyarat,,
flight_company,*,*,airport,airport,penerbangan_perusahaan,*,*,bandara,bandara
,id,id,operate company,operate_company,,pengenal,pengenal,mengoperasikan perusahaan,operasi_perusahaan
,city,City,flight,flight,,kota,kota,penerbangan,penerbangan
,country,Country,,,,negara,negara,,
,iata,IATA,,,,iata,iata,,
,icao,ICAO,,,,icao,icao,,
,name,name,,,,nama,nama,,
,id,id,,,,pengenal,pengenal,,
,name,name,,,,nama,nama,,
,type,Type,,,,jenis,jenis,,
,principal activities,Principal_activities,,,,kegiatan_utama,kegiatan_kepala_sekolah,,
,incorporated in,Incorporated_in,,,,tergabung_dalam,dimasukkan_di,,
,group equity shareholding,Group_Equity_Shareholding,,,,kepemilikan_saham_ekuitas_grup,grup_ekuitas_kepemilikan_saham,,
,id,id,,,,pengenal,pengenal,,
,vehicle flight number,Vehicle_Flight_number,,,,nomor_penerbangan_kendaraan,nomor_penerbangan_kendaraan,,
,date,Date,,,,tanggal,tanggal,,
,pilot,Pilot,,,,pilot,pilot,,
,velocity,Velocity,,,,kecepatan,kecepatan,,
,altitude,Altitude,,,,ketinggian,ketinggian,,
,airport id,airport_id,,,,id_bandara,id_bandara,,
,company id,company_id,,,,id_perusahaan,id_perusahaan,,
icfp_1,*,*,institution,Inst,icfp_1,*,*,lembaga,Inst
,institution id,instID,authors,Authors,,id_institusi,id_inst,penulis,Penulis
,name,name,papers,Papers,,nama,nama,dokumen,Dokumen
,country,country,authorship count,Authorship,,negara,negara,jumlah kepenulisan,Kepengarangan
,author id,authID,,,,id_penulis,id_autentik,,
,last name,lname,,,,nama_belakang,nama,,
,first name,fname,,,,nama_depan,nama_f,,
,paper id,paperID,,,,id_kertas,id_kertas,,
,title,title,,,,judul,judul,,
,author id,authID,,,,id_penulis,id_autentik,,
,institution id,instID,,,,id_institusi,id_inst,,
,paper id,paperID,,,,id_kertas,id_kertas,,
,author count,authOrder,,,,jumlah_penulis,pesanan_autentik,,
body_builder,*,*,body builder,body_builder,binaragawan,*,*,binaragawan,binaragawan
,body builder id,Body_Builder_ID,people,people,,id_binaragawan,ID_Binaragawan,orang,orang
,people id,People_ID,,,,id_orang,id_orang,,
,snatch,Snatch,,,,merebut,merebut,,
,clean jerk,Clean_Jerk,,,,brengsek_bersih,bersih_brengsek,,
,total,Total,,,,total,total,,
,people id,People_ID,,,,id_orang,id_orang,,
,name,Name,,,,nama,nama,,
,height,Height,,,,tinggi,tinggi,,
,weight,Weight,,,,berat,berat,,
,birth date,Birth_Date,,,,tanggal_lahir,tanggal_lahir,,
,birth place,Birth_Place,,,,tempat_lahir,tempat_lahir,,
storm_record,*,*,storm,storm,storm_record,*,*,badai,badai
,storm id,Storm_ID,region,region,,id_badai,id_badai,wilayah,wilayah
,name,Name,affected region,affected_region,,nama,nama,wilayah yang terkena dampak,wilayah_yang terkena dampak
,dates active,Dates_active,,,,tanggal_aktif,tanggal_aktif,,
,max speed,Max_speed,,,,kecepatan_maksimal,kecepatan_maks,,
,damage millions usd,Damage_millions_USD,,,,kerusakan_jutaan_usd,kerusakan_jutaan_usd,,
,number deaths,Number_Deaths,,,,angka_kematian,nomor_kematian,,
,region id,Region_id,,,,id_wilayah,id_wilayah,,
,region code,Region_code,,,,kode_wilayah,kode_wilayah,,
,region name,Region_name,,,,nama_wilayah,nama_wilayah,,
,region id,Region_id,,,,id_wilayah,id_wilayah,,
,storm id,Storm_ID,,,,id_badai,id_badai,,
,number city affected,Number_city_affected,,,,jumlah_kota_yang_terkena_dampak,nomor_kota_terkena_dampak,,
pilot_record,*,*,aircraft,aircraft,catatan_pilot,*,*,pesawat terbang,pesawat terbang
,aircraft id,Aircraft_ID,pilot,pilot,,id_pesawat,id_pesawat,pilot,pilot
,order year,Order_Year,pilot record,pilot_record,,tahun_pesanan,pesanan_tahun,catatan percontohan,catatan_pilot
,manufacturer,Manufacturer,,,,pabrikan,pabrikan,,
,model,Model,,,,model,model,,
,fleet series,Fleet_Series,,,,seri_armada,armada_seri,,
,powertrain,Powertrain,,,,pembangkit_listrik,unit_daya,,
,fuel propulsion,Fuel_Propulsion,,,,penggerak_bahan_bakar,bahan_bakar_propulsi,,
,pilot id,Pilot_ID,,,,id_percontohan,id_pilot,,
,pilot name,Pilot_name,,,,nama_pilotnya,nama_pilot,,
,rank,Rank,,,,pangkat,pangkat,,
,age,Age,,,,usia,usia,,
,nationality,Nationality,,,,kebangsaan,kebangsaan,,
,position,Position,,,,posisi,posisi,,
,join year,Join_Year,,,,bergabung_tahun,bergabung_tahun,,
,team,Team,,,,tim,tim,,
,record id,Record_ID,,,,id_rekaman,id_rekam,,
,pilot id,Pilot_ID,,,,id_percontohan,id_pilot,,
,aircraft id,Aircraft_ID,,,,id_pesawat,id_pesawat,,
,date,Date,,,,tanggal,tanggal,,
race_track,*,*,race,race,balapan,*,*,balapan,balapan
,race id,Race_ID,track,track,,id_balapan,id_ras,melacak,melacak
,name,Name,,,,nama,nama,,
,class,Class,,,,kelas,kelas,,
,date,Date,,,,tanggal,tanggal,,
,track id,Track_ID,,,,id_trek,id_track,,
,track id,Track_ID,,,,id_trek,id_track,,
,name,Name,,,,nama,nama,,
,location,Location,,,,lokasi,lokasi,,
,seating,Seating,,,,tempat_duduk,tempat_duduk,,
,year opened,Year_Opened,,,,tahun_dibuka,tahun_dibuka,,
academic,*,*,author,author,akademik,*,*,pengarang,pengarang
,aid,aid,conference,conference,,bantuan,bantuan,konferensi,konferensi
